tipo_persona_id,sexo_victima
135.0,No corresponde
13769.0,Masculino
136.0,No corresponde
13770.0,Masculino
137.0,No corresponde
13771.0,Masculino
138.0,No corresponde
13772.0,Femenino
9572.0,No corresponde
13773.0,Masculino
9573.0,No corresponde
13774.0,Masculino
9574.0,No corresponde
13775.0,Masculino
139.0,No corresponde
13776.0,Masculino
140.0,No corresponde
141.0,No corresponde
13777.0,Masculino
9575.0,No corresponde
13778.0,Masculino
142.0,No corresponde
13779.0,Masculino
143.0,No corresponde
13780.0,Masculino
144.0,No corresponde
13781.0,Masculino
145.0,No corresponde
21111.0,Masculino
146.0,No corresponde
147.0,No corresponde
13782.0,Masculino
148.0,No corresponde
13783.0,Masculino
149.0,No corresponde
13784.0,Masculino
150.0,No corresponde
13785.0,Masculino
151.0,No corresponde
152.0,No corresponde
13786.0,Masculino
153.0,No corresponde
13787.0,Masculino
154.0,No corresponde
13788.0,Masculino
155.0,No corresponde
13789.0,Masculino
13581.0,No corresponde
13790.0,Femenino
156.0,No corresponde
13791.0,Masculino
157.0,No corresponde
13792.0,Masculino
158.0,No corresponde
13793.0,Masculino
159.0,No corresponde
160.0,No corresponde
13794.0,Masculino
161.0,No corresponde
13795.0,Masculino
162.0,No corresponde
13796.0,Masculino
163.0,No corresponde
13797.0,Femenino
164.0,No corresponde
13798.0,Masculino
165.0,No corresponde
13799.0,Masculino
166.0,No corresponde
13800.0,Masculino
167.0,No corresponde
13801.0,Masculino
168.0,No corresponde
13802.0,Masculino
169.0,No corresponde
13803.0,Masculino
170.0,No corresponde
13804.0,Masculino
171.0,No corresponde
13805.0,Masculino
172.0,No corresponde
13806.0,Masculino
173.0,No corresponde
174.0,No corresponde
175.0,No corresponde
176.0,No corresponde
177.0,No corresponde
13807.0,Masculino
178.0,No corresponde
13808.0,Masculino
179.0,No corresponde
13809.0,Masculino
180.0,No corresponde
13810.0,Masculino
181.0,No corresponde
13811.0,Masculino
182.0,No corresponde
13812.0,Masculino
183.0,No corresponde
13813.0,Masculino
184.0,No corresponde
13814.0,Masculino
185.0,No corresponde
13815.0,Femenino
186.0,No corresponde
187.0,No corresponde
13816.0,Masculino
188.0,No corresponde
189.0,No corresponde
190.0,No corresponde
13817.0,Masculino
191.0,No corresponde
13818.0,Masculino
192.0,No corresponde
13819.0,Femenino
193.0,No corresponde
13820.0,Masculino
194.0,No corresponde
13821.0,Femenino
195.0,No corresponde
13822.0,Masculino
196.0,No corresponde
13823.0,Masculino
197.0,No corresponde
13824.0,Femenino
390.0,No corresponde
13574.0,No corresponde
13825.0,Femenino
198.0,No corresponde
13826.0,Masculino
199.0,No corresponde
13827.0,Masculino
200.0,No corresponde
13828.0,Masculino
201.0,No corresponde
13829.0,Femenino
202.0,No corresponde
13830.0,Masculino
203.0,No corresponde
13831.0,Masculino
204.0,No corresponde
13832.0,Masculino
205.0,No corresponde
13833.0,Masculino
206.0,No corresponde
13834.0,Masculino
207.0,No corresponde
391.0,No corresponde
392.0,No corresponde
393.0,No corresponde
394.0,No corresponde
13835.0,Femenino
208.0,No corresponde
13836.0,Masculino
209.0,No corresponde
13837.0,Masculino
210.0,No corresponde
13838.0,Masculino
211.0,No corresponde
13839.0,Masculino
212.0,No corresponde
13840.0,Masculino
213.0,No corresponde
13841.0,Masculino
214.0,No corresponde
215.0,No corresponde
13994.0,Masculino
216.0,No corresponde
13842.0,Masculino
217.0,No corresponde
13843.0,Masculino
218.0,No corresponde
13844.0,Femenino
219.0,No corresponde
13845.0,Masculino
395.0,No corresponde
13846.0,Masculino
220.0,No corresponde
221.0,No corresponde
13847.0,Masculino
222.0,No corresponde
14047.0,Femenino
223.0,No corresponde
224.0,No corresponde
225.0,No corresponde
396.0,No corresponde
13848.0,Masculino
226.0,No corresponde
13849.0,Femenino
227.0,No corresponde
228.0,No corresponde
13850.0,Femenino
229.0,No corresponde
13851.0,Femenino
13852.0,Masculino
230.0,No corresponde
13853.0,Femenino
231.0,No corresponde
232.0,No corresponde
13854.0,Masculino
233.0,No corresponde
13855.0,Masculino
234.0,No corresponde
235.0,No corresponde
13856.0,Masculino
236.0,No corresponde
13857.0,Masculino
237.0,No corresponde
13858.0,Masculino
238.0,No corresponde
13859.0,Masculino
239.0,No corresponde
240.0,No corresponde
13860.0,Masculino
241.0,No corresponde
13861.0,Masculino
242.0,No corresponde
243.0,No corresponde
13862.0,Masculino
244.0,No corresponde
245.0,No corresponde
13863.0,Masculino
246.0,No corresponde
13864.0,Masculino
247.0,No corresponde
13865.0,Masculino
397.0,No corresponde
13866.0,Masculino
248.0,No corresponde
13867.0,Femenino
249.0,No corresponde
250.0,No corresponde
13868.0,Masculino
251.0,No corresponde
13869.0,Masculino
252.0,No corresponde
13870.0,Masculino
253.0,No corresponde
13871.0,Masculino
254.0,No corresponde
13872.0,Masculino
255.0,No corresponde
13873.0,Femenino
256.0,No corresponde
257.0,No corresponde
13874.0,Masculino
258.0,No corresponde
13875.0,Femenino
259.0,No corresponde
13876.0,Femenino
260.0,No corresponde
13877.0,Masculino
261.0,No corresponde
13878.0,Masculino
262.0,No corresponde
263.0,No corresponde
13879.0,Masculino
264.0,No corresponde
13880.0,Femenino
265.0,No corresponde
13881.0,Masculino
266.0,No corresponde
13882.0,Masculino
267.0,No corresponde
268.0,No corresponde
13883.0,Masculino
269.0,No corresponde
13884.0,Masculino
270.0,No corresponde
13885.0,Masculino
271.0,No corresponde
13886.0,Masculino
272.0,No corresponde
13887.0,Masculino
273.0,No corresponde
13888.0,Masculino
274.0,No corresponde
13889.0,Femenino
275.0,No corresponde
13890.0,Femenino
276.0,No corresponde
13891.0,Masculino
11365.0,No corresponde
13892.0,Femenino
277.0,No corresponde
13893.0,Masculino
278.0,No corresponde
13894.0,Masculino
279.0,No corresponde
280.0,No corresponde
13895.0,Masculino
281.0,No corresponde
13896.0,Femenino
282.0,No corresponde
13897.0,Masculino
283.0,No corresponde
