tipo_persona_id,tipo_lugar,sexo_victima
126.0,Domicilio particular,
127.0,Domicilio particular,
13760.0,Domicilio particular,
128.0,Domicilio particular,
13761.0,Domicilio particular,
129.0,Vía pública,
13762.0,Vía pública,
130.0,Vía pública,
13763.0,Vía pública,
131.0,Vía pública,
13764.0,Vía pública,
132.0,Vía pública,
13765.0,Vía pública,
133.0,Vía pública,
13766.0,Vía pública,
13580.0,Vía pública,
13767.0,Vía pública,
134.0,Vía pública,
13768.0,Vía pública,
135.0,Vía pública,
13769.0,Vía pública,
136.0,Domicilio particular,
13770.0,Domicilio particular,
137.0,Vía pública,
13771.0,Vía pública,
138.0,Domicilio particular,
13772.0,Domicilio particular,
9572.0,Vía pública,
13773.0,Vía pública,
9573.0,Vía pública,
13774.0,Vía pública,
9574.0,Domicilio particular,
13775.0,Domicilio particular,
139.0,Vía pública,
13776.0,Vía pública,
140.0,Domicilio particular,
141.0,Domicilio particular,
13777.0,Domicilio particular,
9575.0,Vía pública,
13778.0,Vía pública,
142.0,Vía pública,
13779.0,Vía pública,
143.0,Comercio,
13780.0,Comercio,
144.0,Vía pública,
13781.0,Vía pública,
145.0,Vía pública,
21111.0,Vía pública,
146.0,Vía pública,
147.0,Vía pública,
13782.0,Vía pública,
148.0,Domicilio particular,
13783.0,Domicilio particular,
149.0,Vía pública,
13784.0,Vía pública,
150.0,Vía pública,
13785.0,Vía pública,
151.0,Vía pública,
152.0,Vía pública,
13786.0,Vía pública,
153.0,Vía pública,
13787.0,Vía pública,
154.0,Vía pública,
13788.0,Vía pública,
155.0,Vía pública,
13789.0,Vía pública,
13581.0,Vía pública,
13790.0,Vía pública,
156.0,Domicilio particular,
13791.0,Domicilio particular,
157.0,Domicilio particular,
13792.0,Domicilio particular,
158.0,Domicilio particular,
13793.0,Domicilio particular,
159.0,Domicilio particular,
160.0,Domicilio particular,
13794.0,Domicilio particular,
161.0,Vía pública,
13795.0,Vía pública,
162.0,Domicilio particular,
13796.0,Domicilio particular,
163.0,Domicilio particular,
13797.0,Domicilio particular,
164.0,Domicilio particular,
13798.0,Domicilio particular,
165.0,Domicilio particular,
13799.0,Domicilio particular,
166.0,Otro lugar,
13800.0,Otro lugar,
167.0,Vía pública,
13801.0,Vía pública,
168.0,Vía pública,
13802.0,Vía pública,
169.0,Vía pública,
13803.0,Vía pública,
170.0,Domicilio particular,
13804.0,Domicilio particular,
171.0,Vía pública,
13805.0,Vía pública,
172.0,Vía pública,
13806.0,Vía pública,
173.0,Vía pública,
174.0,Vía pública,
175.0,Vía pública,
176.0,Vía pública,
177.0,Vía pública,
13807.0,Vía pública,
178.0,Otro lugar,
13808.0,Otro lugar,
179.0,Vía pública,
13809.0,Vía pública,
180.0,Vía pública,
13810.0,Vía pública,
181.0,Domicilio particular,
13811.0,Domicilio particular,
182.0,Vía pública,
13812.0,Vía pública,
183.0,Domicilio particular,
13813.0,Domicilio particular,
184.0,Vía pública,
13814.0,Vía pública,
185.0,Domicilio particular,
13815.0,Domicilio particular,
186.0,Domicilio particular,
187.0,Domicilio particular,
13816.0,Domicilio particular,
188.0,Vía pública,
189.0,Vía pública,
190.0,Vía pública,
13817.0,Vía pública,
191.0,Vía pública,
13818.0,Vía pública,
192.0,Domicilio particular,
13819.0,Domicilio particular,
193.0,Vía pública,
13820.0,Vía pública,
194.0,Vía pública,
13821.0,Vía pública,
195.0,Vía pública,
13822.0,Vía pública,
196.0,Domicilio particular,
13823.0,Domicilio particular,
197.0,Vía pública,
13824.0,Vía pública,
390.0,Otro lugar,
13574.0,Otro lugar,
13825.0,Otro lugar,
198.0,Domicilio particular,
13826.0,Domicilio particular,
199.0,Vía pública,
13827.0,Vía pública,
200.0,Domicilio particular,
13828.0,Domicilio particular,
201.0,Vía pública,
13829.0,Vía pública,
202.0,Vía pública,
13830.0,Vía pública,
203.0,Vía pública,
13831.0,Vía pública,
204.0,Domicilio particular,
13832.0,Domicilio particular,
205.0,Vía pública,
13833.0,Vía pública,
206.0,Vía pública,
13834.0,Vía pública,
207.0,Vía pública,
391.0,Vía pública,
392.0,Vía pública,
393.0,Vía pública,
394.0,Vía pública,
13835.0,Vía pública,
208.0,Vía pública,
13836.0,Vía pública,
209.0,Vía pública,
13837.0,Vía pública,
210.0,Vía pública,
13838.0,Vía pública,
211.0,Domicilio particular,
13839.0,Domicilio particular,
212.0,Domicilio particular,
13840.0,Domicilio particular,
213.0,Vía pública,
13841.0,Vía pública,
214.0,Vía pública,
215.0,Vía pública,
13994.0,Vía pública,
216.0,Vía pública,
13842.0,Vía pública,
217.0,Vía pública,
13843.0,Vía pública,
218.0,Vía pública,
13844.0,Vía pública,
219.0,Vía pública,
13845.0,Vía pública,
395.0,Vía pública,
13846.0,Vía pública,
220.0,Vía pública,
221.0,Vía pública,
13847.0,Vía pública,
222.0,Domicilio particular,
14047.0,Domicilio particular,
223.0,Vía pública,
224.0,Vía pública,
225.0,Vía pública,
396.0,Vía pública,
13848.0,Vía pública,
226.0,Vía pública,
13849.0,Vía pública,
227.0,Vía pública,
228.0,Vía pública,
13850.0,Vía pública,
