tipo_persona_id,tipo_lugar,sexo_inculpado,Id_hecho
13757.0,4.0,,11694
124.0,2.0,,11695
13758.0,2.0,,11695
125.0,2.0,,11696
13759.0,2.0,,11696
126.0,2.0,,11697
127.0,2.0,,11697
13760.0,2.0,,11697
128.0,2.0,,11698
13761.0,2.0,,11698
129.0,6.0,,11699
13762.0,6.0,,11699
130.0,6.0,,11700
13763.0,6.0,,11700
131.0,6.0,,11701
13764.0,6.0,,11701
132.0,6.0,,11702
13765.0,6.0,,11702
133.0,6.0,,11703
13766.0,6.0,,11703
13580.0,6.0,,11704
13767.0,6.0,,11704
134.0,6.0,,11705
13768.0,6.0,,11705
135.0,6.0,,11706
13769.0,6.0,,11706
136.0,2.0,,11707
13770.0,2.0,,11707
137.0,6.0,,11708
13771.0,6.0,,11708
138.0,2.0,,11709
13772.0,2.0,,11709
9572.0,6.0,,11716
13773.0,6.0,,11716
9573.0,6.0,,11717
13774.0,6.0,,11717
9574.0,2.0,,11719
13775.0,2.0,,11719
139.0,6.0,,11720
13776.0,6.0,,11720
140.0,2.0,,11721
141.0,2.0,,11721
13777.0,2.0,,11721
9575.0,6.0,,11722
13778.0,6.0,,11722
142.0,6.0,,11723
13779.0,6.0,,11723
143.0,1.0,,11724
13780.0,1.0,,11724
144.0,6.0,,11725
13781.0,6.0,,11725
145.0,6.0,,11726
21111.0,6.0,,11726
146.0,6.0,,11727
147.0,6.0,,11727
13782.0,6.0,,11727
148.0,2.0,,11728
13783.0,2.0,,11728
149.0,6.0,,11729
13784.0,6.0,,11729
150.0,6.0,,11730
13785.0,6.0,,11730
151.0,6.0,,11731
152.0,6.0,,11731
13786.0,6.0,,11731
153.0,6.0,,11732
13787.0,6.0,,11732
154.0,6.0,,11733
13788.0,6.0,,11733
155.0,6.0,,11734
13789.0,6.0,,11734
13581.0,6.0,,11735
13790.0,6.0,,11735
156.0,2.0,,11736
13791.0,2.0,,11736
157.0,2.0,,11747
13792.0,2.0,,11747
158.0,2.0,,11748
13793.0,2.0,,11748
159.0,2.0,,11749
160.0,2.0,,11749
13794.0,2.0,,11749
161.0,6.0,,11750
13795.0,6.0,,11750
162.0,2.0,,11751
13796.0,2.0,,11751
163.0,2.0,,11752
13797.0,2.0,,11752
164.0,2.0,,11753
13798.0,2.0,,11753
165.0,2.0,,11754
13799.0,2.0,,11754
166.0,4.0,,11755
13800.0,4.0,,11755
167.0,6.0,,11756
13801.0,6.0,,11756
168.0,6.0,,11757
13802.0,6.0,,11757
169.0,6.0,,11758
13803.0,6.0,,11758
170.0,2.0,,11759
13804.0,2.0,,11759
171.0,6.0,,11760
13805.0,6.0,,11760
172.0,6.0,,11761
13806.0,6.0,,11761
173.0,6.0,,11762
174.0,6.0,,11762
175.0,6.0,,11762
176.0,6.0,,11762
177.0,6.0,,11762
13807.0,6.0,,11762
178.0,4.0,,11763
13808.0,4.0,,11763
179.0,6.0,,11764
13809.0,6.0,,11764
180.0,6.0,,11765
13810.0,6.0,,11765
181.0,2.0,,11766
13811.0,2.0,,11766
182.0,6.0,,11767
13812.0,6.0,,11767
183.0,2.0,,11768
13813.0,2.0,,11768
184.0,6.0,,11769
13814.0,6.0,,11769
185.0,2.0,,11770
13815.0,2.0,,11770
186.0,2.0,,11771
187.0,2.0,,11771
13816.0,2.0,,11771
188.0,6.0,,11772
189.0,6.0,,11772
190.0,6.0,,11772
13817.0,6.0,,11772
191.0,6.0,,11773
13818.0,6.0,,11773
192.0,2.0,,11774
13819.0,2.0,,11774
193.0,6.0,,11775
13820.0,6.0,,11775
194.0,6.0,,11776
13821.0,6.0,,11776
195.0,6.0,,11777
13822.0,6.0,,11777
196.0,2.0,,11778
13823.0,2.0,,11778
197.0,6.0,,11779
13824.0,6.0,,11779
390.0,4.0,,11780
13574.0,4.0,,11780
13825.0,4.0,,11780
198.0,2.0,,11781
13826.0,2.0,,11781
199.0,6.0,,11782
13827.0,6.0,,11782
200.0,2.0,,11783
13828.0,2.0,,11783
201.0,6.0,,11784
13829.0,6.0,,11784
202.0,6.0,,11792
13830.0,6.0,,11792
203.0,6.0,,11793
13831.0,6.0,,11793
204.0,2.0,,11794
13832.0,2.0,,11794
205.0,6.0,,11795
13833.0,6.0,,11795
206.0,6.0,,11796
13834.0,6.0,,11796
207.0,6.0,,11797
391.0,6.0,,11797
392.0,6.0,,11797
393.0,6.0,,11797
394.0,6.0,,11797
13835.0,6.0,,11797
208.0,6.0,,11798
13836.0,6.0,,11798
209.0,6.0,,11799
13837.0,6.0,,11799
210.0,6.0,,11800
13838.0,6.0,,11800
211.0,2.0,,11801
13839.0,2.0,,11801
212.0,2.0,,11802
13840.0,2.0,,11802
213.0,6.0,,11811
13841.0,6.0,,11811
214.0,6.0,,11812
215.0,6.0,,11812
13994.0,6.0,,11812
216.0,6.0,,11813
13842.0,6.0,,11813
217.0,6.0,,11814
13843.0,6.0,,11814
218.0,6.0,,11815
13844.0,6.0,,11815
219.0,6.0,,11816
13845.0,6.0,,11816
395.0,6.0,,11817
13846.0,6.0,,11817
220.0,6.0,,11818
221.0,6.0,,11818
13847.0,6.0,,11818
222.0,2.0,,11819
14047.0,2.0,,11819
223.0,6.0,,11820
224.0,6.0,,11820
225.0,6.0,,11820
396.0,6.0,,11820
13848.0,6.0,,11820
226.0,6.0,,11821
13849.0,6.0,,11821
227.0,6.0,,11822
228.0,6.0,,11822
13850.0,6.0,,11822
229.0,2.0,,11823
13851.0,2.0,,11823
13852.0,2.0,,11823
230.0,2.0,,11824
13853.0,2.0,,11824
