fecha_hecho,tipo_persona_id,localidad
1328.0,13730.0,Rosario
1478.0,93.0,Rosario
1478.0,13731.0,Rosario
1478.0,94.0,Villa Gobernador Gálvez
1478.0,13732.0,Villa Gobernador Gálvez
1478.0,95.0,Rosario
1478.0,13733.0,Rosario
1657.0,96.0,Rosario
1657.0,13734.0,Rosario
1775.0,97.0,Villa Gobernador Gálvez
1775.0,13735.0,Villa Gobernador Gálvez
84.0,98.0,Rosario
84.0,99.0,Rosario
84.0,13736.0,Rosario
84.0,13737.0,Rosario
502.0,100.0,Rosario
502.0,13738.0,Rosario
621.0,101.0,Villa Gobernador Gálvez
621.0,13739.0,Villa Gobernador Gálvez
919.0,102.0,Rosario
919.0,13740.0,Rosario
1038.0,103.0,Rosario
1038.0,13741.0,Rosario
1095.0,104.0,Rosario
1095.0,13742.0,Rosario
204.0,105.0,Rafaela
204.0,13743.0,Rafaela
502.0,106.0,San Lorenzo
502.0,13744.0,San Lorenzo
562.0,107.0,Capitán Bermúdez
562.0,13745.0,Capitán Bermúdez
562.0,108.0,Capitán Bermúdez
562.0,13746.0,Capitán Bermúdez
1038.0,109.0,Puerto General San Martín
1038.0,13747.0,Puerto General San Martín
1383.0,110.0,San Lorenzo
1383.0,13748.0,San Lorenzo
865.0,111.0,Villa Ocampo
865.0,13749.0,Villa Ocampo
1602.0,112.0,Los Zapallos
1602.0,13750.0,Los Zapallos
328.0,113.0,Alejandra
328.0,114.0,Alejandra
328.0,115.0,Alejandra
328.0,13751.0,Alejandra
686.0,116.0,Ceres
686.0,13752.0,Ceres
447.0,117.0,San Cristóbal
447.0,13753.0,San Cristóbal
30.0,118.0,Rosario
30.0,13754.0,Rosario
1333.0,119.0,Rosario
1333.0,120.0,Rosario
1333.0,21092.0,Rosario
1542.0,121.0,Rosario
1542.0,13755.0,Rosario
1780.0,122.0,Rosario
1780.0,13756.0,Rosario
149.0,123.0,Granadero Baigorria
149.0,13757.0,Granadero Baigorria
806.0,124.0,Rosario
806.0,13758.0,Rosario
865.0,125.0,Rosario
865.0,13759.0,Rosario
865.0,126.0,Granadero Baigorria
865.0,127.0,Granadero Baigorria
865.0,13760.0,Granadero Baigorria
1100.0,128.0,Villa Gobernador Gálvez
1100.0,13761.0,Villa Gobernador Gálvez
1388.0,129.0,Rosario
1388.0,13762.0,Rosario
1483.0,130.0,Santa Fe
1483.0,13763.0,Santa Fe
1722.0,131.0,Santo Tomé
1722.0,13764.0,Santo Tomé
149.0,132.0,Santo Tomé
149.0,13765.0,Santo Tomé
328.0,133.0,Santo Tomé
328.0,13766.0,Santo Tomé
567.0,13580.0,Santa Fe
567.0,13767.0,Santa Fe
806.0,134.0,Santa Fe
806.0,13768.0,Santa Fe
924.0,135.0,Santa Fe
924.0,13769.0,Santa Fe
686.0,136.0,Santa Fe
686.0,13770.0,Santa Fe
447.0,137.0,Santa Clara de Saguier
447.0,13771.0,Santa Clara de Saguier
507.0,138.0,Frontera
507.0,13772.0,Frontera
154.0,9572.0,Santa Fe
154.0,13773.0,Santa Fe
214.0,9573.0,Santo Tomé
214.0,13774.0,Santo Tomé
333.0,9574.0,Santa Fe
333.0,13775.0,Santa Fe
333.0,139.0,Santa Fe
333.0,13776.0,Santa Fe
870.0,140.0,Santa Fe
870.0,141.0,Santa Fe
870.0,13777.0,Santa Fe
1165.0,9575.0,Santa Fe
1165.0,13778.0,Santa Fe
1488.0,142.0,Rosario
1488.0,13779.0,Rosario
1607.0,143.0,Rosario
1607.0,13780.0,Rosario
1667.0,144.0,Rosario
1667.0,13781.0,Rosario
447.0,145.0,Rosario
447.0,21111.0,Rosario
333.0,146.0,Rosario
333.0,147.0,Rosario
333.0,13782.0,Rosario
333.0,148.0,Rosario
333.0,13783.0,Rosario
393.0,149.0,Villa Gobernador Gálvez
393.0,13784.0,Villa Gobernador Gálvez
452.0,150.0,Rosario
452.0,13785.0,Rosario
512.0,151.0,Rosario
512.0,152.0,Rosario
512.0,13786.0,Rosario
1785.0,153.0,Rosario
1785.0,13787.0,Rosario
929.0,154.0,Rosario
929.0,13788.0,Rosario
691.0,155.0,Reconquista
691.0,13789.0,Reconquista
1667.0,13581.0,Romang
1667.0,13790.0,Romang
1223.0,156.0,María Teresa
1223.0,13791.0,María Teresa
1453.0,157.0,Comodoro Rivadavia 
1453.0,13792.0,Comodoro Rivadavia 
238.0,158.0,Comodoro Rivadavia 
238.0,13793.0,Comodoro Rivadavia 
716.0,159.0,Comodoro Rivadavia 
716.0,160.0,Comodoro Rivadavia 
716.0,13794.0,Comodoro Rivadavia 
1247.0,161.0,Comodoro Rivadavia 
1247.0,13795.0,Comodoro Rivadavia 
716.0,162.0,Comodoro Rivadavia 
716.0,13796.0,Comodoro Rivadavia 
1130.0,163.0,Comodoro Rivadavia 
1130.0,13797.0,Comodoro Rivadavia 
1532.0,164.0,Comodoro Rivadavia 
1532.0,13798.0,Comodoro Rivadavia 
79.0,165.0,Comodoro Rivadavia 
79.0,13799.0,Comodoro Rivadavia 
258.0,166.0,Sarmiento 
258.0,13800.0,Sarmiento 
557.0,167.0,Comodoro Rivadavia 
557.0,13801.0,Comodoro Rivadavia 
1208.0,168.0,Comodoro Rivadavia 
1208.0,13802.0,Comodoro Rivadavia 
801.0,169.0,Comodoro Rivadavia 
801.0,13803.0,Comodoro Rivadavia 
1780.0,170.0,Comodoro Rivadavia 
1780.0,13804.0,Comodoro Rivadavia 
1722.0,171.0,Comodoro Rivadavia 
1722.0,13805.0,Comodoro Rivadavia 
452.0,172.0,Comodoro Rivadavia 
452.0,13806.0,Comodoro Rivadavia 
298.0,173.0,Esquel 
298.0,174.0,Esquel 
298.0,175.0,Esquel 
298.0,176.0,Esquel 
298.0,177.0,Esquel 
298.0,13807.0,Esquel 
1038.0,178.0,Gualjaina
1038.0,13808.0,Gualjaina
984.0,179.0,Esquel 
984.0,13809.0,Esquel 
1438.0,180.0,Trevelín
1438.0,13810.0,Trevelín
418.0,181.0,Puerto Madryn
418.0,13811.0,Puerto Madryn
1323.0,182.0,Puerto Madryn
1323.0,13812.0,Puerto Madryn
1033.0,183.0,Puerto Madryn
1033.0,13813.0,Puerto Madryn
1790.0,184.0,Puerto Madryn
1790.0,13814.0,Puerto Madryn
20.0,185.0,San Ramón de la Nueva Orán (Est. Orán)
20.0,13815.0,San Ramón de la Nueva Orán (Est. Orán)
1532.0,186.0,Salta
1532.0,187.0,Salta
1532.0,13816.0,Salta
139.0,188.0,Salta
139.0,189.0,Salta
139.0,190.0,Salta
139.0,13817.0,Salta
557.0,191.0,Salta
557.0,13818.0,Salta
974.0,192.0,Salta
974.0,13819.0,Salta
1090.0,193.0,General Güemes (Est. Güemes)
1090.0,13820.0,General Güemes (Est. Güemes)
1208.0,194.0,Salta
1208.0,13821.0,Salta
681.0,195.0,Tartagal
681.0,13822.0,Tartagal
144.0,196.0,Villa Los Álamos
144.0,13823.0,Villa Los Álamos
502.0,197.0,El Galpón (Est. Foguista J. F. Juárez)
502.0,13824.0,El Galpón (Est. Foguista J. F. Juárez)
562.0,390.0,Aguas Blancas
562.0,13574.0,Aguas Blancas
562.0,13825.0,Aguas Blancas
979.0,198.0,Hickman
979.0,13826.0,Hickman
1433.0,199.0,Salta
1433.0,13827.0,Salta
1095.0,200.0,Trelew
1095.0,13828.0,Trelew
333.0,201.0,Londres 
333.0,13829.0,Londres 
1333.0,202.0,Tartagal
1333.0,13830.0,Tartagal
1662.0,203.0,Profesor Salvador Mazza (Est. Pocitos)
1662.0,13831.0,Profesor Salvador Mazza (Est. Pocitos)
924.0,204.0,Salta
924.0,13832.0,Salta
924.0,205.0,Tartagal
924.0,13833.0,Tartagal
924.0,206.0,Salta
924.0,13834.0,Salta
1273.0,207.0,San Ramón de la Nueva Orán (Est. Orán)
1273.0,391.0,San Ramón de la Nueva Orán (Est. Orán)
1273.0,392.0,San Ramón de la Nueva Orán (Est. Orán)
1273.0,393.0,San Ramón de la Nueva Orán (Est. Orán)
1273.0,394.0,San Ramón de la Nueva Orán (Est. Orán)
1273.0,13835.0,San Ramón de la Nueva Orán (Est. Orán)
1388.0,208.0,Tartagal
1388.0,13836.0,Tartagal
1388.0,209.0,Salta
1388.0,13837.0,Salta
1388.0,210.0,Salta
1388.0,13838.0,Salta
1115.0,211.0,Trelew
1115.0,13839.0,Trelew
939.0,212.0,Trelew
939.0,13840.0,Trelew
1488.0,213.0,Rosario de Lerma
1488.0,13841.0,Rosario de Lerma
1607.0,214.0,San Ramón de la Nueva Orán (Est. Orán)
1607.0,215.0,San Ramón de la Nueva Orán (Est. Orán)
1607.0,13994.0,San Ramón de la Nueva Orán (Est. Orán)
1667.0,216.0,General Mosconi (Est. Vespucio)
1667.0,13842.0,General Mosconi (Est. Vespucio)
1667.0,217.0,Salta
1667.0,13843.0,Salta
273.0,218.0,Salta
273.0,13844.0,Salta
393.0,219.0,Salta
393.0,13845.0,Salta
452.0,395.0,Aguas Blancas
452.0,13846.0,Aguas Blancas
512.0,220.0,Profesor Salvador Mazza (Est. Pocitos)
512.0,221.0,Profesor Salvador Mazza (Est. Pocitos)
512.0,13847.0,Profesor Salvador Mazza (Est. Pocitos)
631.0,222.0,Salta
631.0,14047.0,Salta
751.0,223.0,Pichanal 
751.0,224.0,Pichanal 
751.0,225.0,Pichanal 
751.0,396.0,Pichanal 
751.0,13848.0,Pichanal 
1165.0,226.0,Salta
1165.0,13849.0,Salta
1547.0,227.0,Salta
1547.0,228.0,Salta
1547.0,13850.0,Salta
1552.0,229.0,Salta
1552.0,13851.0,Salta
1552.0,13852.0,Salta
159.0,230.0,General Güemes (Est. Güemes)
159.0,13853.0,General Güemes (Est. Güemes)
815.0,231.0,La Silleta
815.0,232.0,La Silleta
815.0,13854.0,La Silleta
1052.0,233.0,San Ramón de la Nueva Orán (Est. Orán)
1052.0,13855.0,San Ramón de la Nueva Orán (Est. Orán)
1228.0,234.0,Pluma de Pato
1228.0,235.0,Pluma de Pato
1228.0,13856.0,Pluma de Pato
1288.0,236.0,Comodoro Rivadavia 
1288.0,13857.0,Comodoro Rivadavia 
45.0,237.0,Comodoro Rivadavia 
45.0,13858.0,Comodoro Rivadavia 
974.0,238.0,La Merced
974.0,13859.0,La Merced
1737.0,239.0,San Ramón de la Nueva Orán (Est. Orán)
1737.0,240.0,San Ramón de la Nueva Orán (Est. Orán)
1737.0,13860.0,San Ramón de la Nueva Orán (Est. Orán)
1795.0,241.0,Salta
1795.0,13861.0,Salta
879.0,242.0,Salta
879.0,243.0,Salta
879.0,13862.0,Salta
1503.0,244.0,San Ramón de la Nueva Orán (Est. Orán)
1503.0,245.0,San Ramón de la Nueva Orán (Est. Orán)
1503.0,13863.0,San Ramón de la Nueva Orán (Est. Orán)
1562.0,246.0,San Ramón de la Nueva Orán (Est. Orán)
1562.0,13864.0,San Ramón de la Nueva Orán (Est. Orán)
408.0,247.0,Salta
408.0,13865.0,Salta
646.0,397.0,San Ramón de la Nueva Orán (Est. Orán)
646.0,13866.0,San Ramón de la Nueva Orán (Est. Orán)
567.0,248.0,Ushuaia
567.0,13867.0,Ushuaia
378.0,249.0,San Fernando del Valle de Catamarca
378.0,250.0,San Fernando del Valle de Catamarca
378.0,13868.0,San Fernando del Valle de Catamarca
55.0,251.0,Río Gallegos
55.0,13869.0,Río Gallegos
1247.0,252.0,El Calafate
1247.0,13870.0,El Calafate
914.0,253.0,Caleta Olivia
