tipo_persona_id,motivo_origen_registro,Id_hecho
103.0,Intervención policial,11673
13741.0,Intervención policial,11673
104.0,Intervención policial,11674
13742.0,Intervención policial,11674
105.0,Intervención policial,11675
13743.0,Intervención policial,11675
106.0,Intervención policial,11676
13744.0,Intervención policial,11676
107.0,Intervención policial,11677
13745.0,Intervención policial,11677
108.0,Intervención policial,11678
13746.0,Intervención policial,11678
109.0,Intervención policial,11679
13747.0,Intervención policial,11679
110.0,Intervención policial,11680
13748.0,Intervención policial,11680
111.0,Intervención policial,11685
13749.0,Intervención policial,11685
112.0,Intervención policial,11686
13750.0,Intervención policial,11686
113.0,Intervención policial,11687
114.0,Intervención policial,11687
115.0,Intervención policial,11687
13751.0,Intervención policial,11687
116.0,Intervención policial,11688
13752.0,Intervención policial,11688
117.0,Intervención policial,11689
13753.0,Intervención policial,11689
118.0,Intervención policial,11690
13754.0,Intervención policial,11690
119.0,Intervención policial,11691
120.0,Intervención policial,11691
21092.0,Intervención policial,11691
121.0,Intervención policial,11692
13755.0,Intervención policial,11692
122.0,Intervención policial,11693
13756.0,Intervención policial,11693
123.0,Intervención policial,11694
13757.0,Intervención policial,11694
124.0,Intervención policial,11695
13758.0,Intervención policial,11695
125.0,Intervención policial,11696
13759.0,Intervención policial,11696
126.0,Intervención policial,11697
127.0,Intervención policial,11697
13760.0,Intervención policial,11697
128.0,Intervención policial,11698
13761.0,Intervención policial,11698
129.0,Intervención policial,11699
13762.0,Intervención policial,11699
130.0,Intervención policial,11700
13763.0,Intervención policial,11700
131.0,Intervención policial,11701
13764.0,Intervención policial,11701
132.0,Intervención policial,11702
13765.0,Intervención policial,11702
133.0,Intervención policial,11703
13766.0,Intervención policial,11703
13580.0,Intervención policial,11704
13767.0,Intervención policial,11704
134.0,Intervención policial,11705
13768.0,Intervención policial,11705
135.0,Intervención policial,11706
13769.0,Intervención policial,11706
136.0,Intervención policial,11707
13770.0,Intervención policial,11707
137.0,Intervención policial,11708
13771.0,Intervención policial,11708
138.0,Intervención policial,11709
13772.0,Intervención policial,11709
9572.0,Intervención policial,11716
13773.0,Intervención policial,11716
9573.0,Intervención policial,11717
13774.0,Intervención policial,11717
9574.0,Intervención policial,11719
13775.0,Intervención policial,11719
139.0,Intervención policial,11720
13776.0,Intervención policial,11720
140.0,Intervención policial,11721
141.0,Intervención policial,11721
13777.0,Intervención policial,11721
9575.0,Intervención policial,11722
13778.0,Intervención policial,11722
142.0,Intervención policial,11723
13779.0,Intervención policial,11723
143.0,Intervención policial,11724
13780.0,Intervención policial,11724
144.0,Intervención policial,11725
13781.0,Intervención policial,11725
145.0,Intervención policial,11726
21111.0,Intervención policial,11726
146.0,Intervención policial,11727
147.0,Intervención policial,11727
13782.0,Intervención policial,11727
148.0,Intervención policial,11728
13783.0,Intervención policial,11728
149.0,Intervención policial,11729
13784.0,Intervención policial,11729
150.0,Intervención policial,11730
13785.0,Intervención policial,11730
151.0,Intervención policial,11731
152.0,Intervención policial,11731
13786.0,Intervención policial,11731
153.0,Intervención policial,11732
13787.0,Intervención policial,11732
154.0,Intervención policial,11733
13788.0,Intervención policial,11733
155.0,Intervención policial,11734
13789.0,Intervención policial,11734
13581.0,Intervención policial,11735
13790.0,Intervención policial,11735
156.0,Intervención policial,11736
13791.0,Intervención policial,11736
157.0,Denuncia particular,11747
13792.0,Denuncia particular,11747
158.0,Denuncia particular,11748
13793.0,Denuncia particular,11748
159.0,Denuncia particular,11749
160.0,Denuncia particular,11749
13794.0,Denuncia particular,11749
161.0,Denuncia particular,11750
13795.0,Denuncia particular,11750
162.0,Denuncia particular,11751
13796.0,Denuncia particular,11751
163.0,Denuncia particular,11752
13797.0,Denuncia particular,11752
164.0,Denuncia particular,11753
13798.0,Denuncia particular,11753
165.0,Denuncia particular,11754
13799.0,Denuncia particular,11754
166.0,Denuncia particular,11755
13800.0,Denuncia particular,11755
167.0,Denuncia particular,11756
13801.0,Denuncia particular,11756
168.0,Denuncia particular,11757
13802.0,Denuncia particular,11757
169.0,Denuncia particular,11758
13803.0,Denuncia particular,11758
170.0,Denuncia particular,11759
13804.0,Denuncia particular,11759
171.0,Denuncia particular,11760
13805.0,Denuncia particular,11760
172.0,Denuncia particular,11761
13806.0,Denuncia particular,11761
173.0,Denuncia particular,11762
